VariableName,NameZh,Category,Access,DataType,Dimension,DefaultValue,Unit,Index,Remarks,IsVisible,GodeGen,NonVolatile,AppParam,Min,Max,HighLevelParam,Cia402_ObjectDictionary_all
lq_inv,q定子电感倒数,SimPlantConfig,RW,single,1,," 1/H",548,,Visible,1,0,,,,0,
enc_line_init_pos_P,编码器初始位置,SimPlantConfig,RW,int64,1,,P,549,,Visible,1,,,,,,
enc_noise,编码器传感器噪声,SimPlantConfig,RW,single,1,,P,550,,Visible,1,,,,,,
hall_state,虚拟模型霍尔传感器输出,SimPlantOutput,RO,uint8,1,,,551,"默认 120°霍尔传感器
霍尔状态 1~7",Visible,1,,,,,,
dc_bus_V,虚拟母线电源电压输出,SimPlantOutput,RO,single,1,,V,552,,Visible,1,,,,,,
state_last,上一个周期运行状态,MotorCtlSmOutput,RO,int8,1,0,,553,"0：电机失能状态
1：电机使能状态
-1：错误状态",Visible,1,,,,,,
Reduction_ratio,减速比系数,AppMotorConfig,RO,single,1,,,558,,Visible,,0,1,,,0,
Reduction_ratio_inv,减速比系数倒数,AppMotorConfig,RO,single,1,,,559,,Visible,,0,1,,,0,
Load_pps_2_rpm,负载端指令RPM转换系数,AppEncoderConfig,RO,single,1,,,560,,Visible,,0,1,,,0,
Load_rpm_2_pps,负载端指令pps转换系数,AppEncoderConfig,RO,single,1,,,561,,Visible,,0,1,,,0,
Storage_cmd,Flash存储命令,SystemStatus,RW,uint8,1,0,,562,"0：无操作/空闲
1：读取数据库参数
2：写入数据库参数
3：擦除数据库参数
4：读取错误记录
5：写入错误记录
6：擦除错误记录",Visible,,0,1,,,0,
Motor_rotor_inertia,电机转子惯量,AppMotorConfig,RW,single,1,,kg*m^2*e-4,563,,Visible,,1,1,0,,,
Debug_float,临时debug变量 float 类型,AppDebugParam,RW,single,16,,,564,,Visible,,1,1,,,1,
Debug_uint32,临时debug变量 uint32 类型,AppDebugParam,RW,uint32,16,,,565,,Visible,,1,1,,,1,
kt_NM_A,转矩常数,MitCtlConfig,RW,single,1,1,NM/A,589,,Visible,1,0,,,,,
Motor_pps_2_rpm,电机端指令RPM转换系数,AppEncoderConfig,RO,single,1,,,590,,Visible,0,0,1,,,0,
Motor_rpm_2_pps,电机端指令pps转换系数,AppEncoderConfig,RO,single,1,,,591,,Visible,0,0,1,,,0,
P_load_2_motor,负载端到电机端P转换系数,AppEncoderConfig,RO,single,1,,,592,,Visible,,,1,,,,
P_motor_2_load,电机端到负载端P转换系数,AppEncoderConfig,RO,single,1,,,593,,Visible,,,1,,,,
Debug_int32,临时debug变量 int32 类型,AppDebugParam,RW,int32,16,,,598,,Visible,0,1,1,,,1,
Load_control_resolution,负载端控制位置分辨率,AppEncoderConfig,RW,uint32,1,,P,599,≤Load_encoder_resolution，且能被整除,Visible,0,1,1,,,0,
Motor_control_resolution,电机端控制位置分辨率,AppEncoderConfig,RW,uint32,1,,P,600,≤Motor_encoder_resolution，且能被整除,Visible,0,1,1,,,0,
Load_encoder_options,负载端编码器选项,AppEncoderConfig,RW,uint8,1,,,601,"bit0：电机端计数方向；0-默认, 1-取反
bit1：负载端计数方向；0-默认, 1-取反
bit2：多圈值溢出坐标为0/分辨率；0：默认按±一半多圈分辨率溢出，1：按0/多圈分辨率溢出
bit3：负载端单圈作为值电机端多圈值；0：默认正常双编码器，1：负载端编码器单圈值作为电机端编码器多圈值使用",Visible,0,1,1,0,,0,
